alpha,beta,tv_direct,tv_closed_form,tv_residual,hellinger,kl,regime,forward_0,backward_0
0.019796,0.470408,0.002258015156,0.002258015156,1.197e-16,0.001596658846,0.000014711568,Smooth,0.498870992422,0.501129007578
0.019796,0.480204,0.001507722601,0.001507722601,2.038e-17,0.001066121178,0.000006559153,Smooth,0.499246138699,0.500753861301
0.019796,0.490000,0.000760778727,0.000760778727,1.623e-16,0.000537951836,0.000001670019,Smooth,0.499619610636,0.500380389364
0.029592,0.010000,0.565816538146,0.565816538146,0.000e0,0.418890001214,1.047065291683,Borderline,0.217091730927,0.782908269073
0.029592,0.019796,0.404492715592,0.404492715592,-5.551e-17,0.292333337177,0.500704576776,Borderline,0.297753642204,0.702246357796
0.029592,0.029592,0.313216734880,0.313216734880,-1.110e-16,0.224317472795,0.292913477793,Borderline,0.343391632560,0.656608367440
0.029592,0.039388,0.254473272991,0.254473272991,1.110e-16,0.181439226418,0.191045747353,Smooth,0.372763363505,0.627236636495
0.029592,0.049184,0.213477374908,0.213477374908,2.776e-17,0.151828824554,0.133548678657,Smooth,0.393261312546,0.606738687454
0.029592,0.058980,0.183223766163,0.183223766163,5.551e-17,0.130110590650,0.097971606140,Smooth,0.408388116918,0.591611883082
0.029592,0.068776,0.159964717166,0.159964717166,-1.110e-16,0.113478047994,0.074473028723,Smooth,0.420017641417,0.579982358583
0.029592,0.078571,0.141513717809,0.141513717809,-2.776e-17,0.100318020543,0.058173630381,Smooth,0.429243141096,0.570756858904
0.029592,0.088367,0.126509174784,0.126509174784,-2.776e-17,0.089635722519,0.046428185096,Smooth,0.436745412608,0.563254587392
0.029592,0.098163,0.114058896513,0.114058896513,1.804e-16,0.080783725727,0.037701347815,Smooth,0.442970551744,0.557029448256
0.029592,0.107959,0.103553846909,0.103553846909,1.388e-17,0.073322241545,0.031052505055,Smooth,0.448223076546,0.551776923454
0.029592,0.117755,0.094564055710,0.094564055710,-5.551e-17,0.066941922492,0.025879524844,Smooth,0.452717972145,0.547282027855
0.029592,0.127551,0.086777300047,0.086777300047,-6.939e-17,0.061418766618,0.021782639197,Smooth,0.456611349977,0.543388650023
0.029592,0.137347,0.079961367204,0.079961367204,1.110e-16,0.056586541172,0.018488136202,Smooth,0.460019316398,0.539980683602
0.029592,0.147143,0.073939955752,0.073939955752,-1.527e-16,0.052319259814,0.015803607497,Smooth,0.463030022124,0.536969977876
0.029592,0.156939,0.068576791249,0.068576791249,4.163e-17,0.048519678294,0.013590675506,Smooth,0.465711604375,0.534288395625
0.029592,0.166735,0.063764865282,0.063764865282,5.551e-17,0.045111525533,0.011747814355,Smooth,0.468117567359,0.531882432641
0.029592,0.176531,0.059418968240,0.059418968240,-6.245e-17,0.042034126662,0.010199212485,Smooth,0.470290515880,0.529709484120
0.029592,0.186327,0.055470396689,0.055470396689,6.939e-17,0.039238600163,0.008887366893,Smooth,0.472264801656,0.527735198344
0.029592,0.196122,0.051863130646,0.051863130646,1.388e-16,0.036685116137,0.007768046793,Smooth,0.474068434677,0.525931565323
0.029592,0.205918,0.048551025509,0.048551025509,2.082e-17,0.034340885384,0.006806799196,Smooth,0.475724487246,0.524275512754
0.029592,0.215714,0.045495717695,0.045495717695,-2.498e-16,0.032178661555,0.005976480234,Smooth,0.477252141153,0.522747858847
0.029592,0.225510,0.042665040894,0.042665040894,1.249e-16,0.030175609749,0.005255482465,Smooth,0.478667479553,0.521332520447
0.029592,0.235306,0.040031813322,0.040031813322,-3.469e-17,0.028312441005,0.004626442978,Smooth,0.479984093339,0.520015906661
0.029592,0.245102,0.037572898327,0.037572898327,6.245e-17,0.026572742434,0.004075289093,Smooth,0.481213550836,0.518786449164
0.029592,0.254898,0.035268469008,0.035268469008,8.327e-17,0.024942453237,0.003590524667,Smooth,0.482365765496,0.517634234504
0.029592,0.264694,0.033101426910,0.033101426910,-6.939e-18,0.023409450764,0.003162690254,Smooth,0.483449286545,0.516550713455
0.029592,0.274490,0.031056938328,0.031056938328,-1.492e-16,0.021963220526,0.002783950460,Smooth,0.484471530836,0.515528469164
0.029592,0.284286,0.029122061310,0.029122061310,5.898e-17,0.020594590883,0.002447775467,Smooth,0.485438969345,0.514561030655
0.029592,0.294082,0.027285443246,0.027285443246,-6.245e-17,0.019295518043,0.002148693018,Smooth,0.486357278377,0.513642721623
0.029592,0.303878,0.025537073858,0.025537073858,3.123e-17,0.018058910519,0.001882093668,Smooth,0.487231463071,0.512768536929
0.029592,0.313673,0.023868082041,0.023868082041,1.735e-17,0.016878484807,0.001644076680,Smooth,0.488065958979,0.511934041021
0.029592,0.323469,0.022270567642,0.022270567642,7.980e-17,0.015748645925,0.001431327197,Smooth,0.488864716179,0.511135283821
0.029592,0.333265,0.020737461291,0.020737461291,1.735e-17,0.014664387898,0.001241017707,Smooth,0.489631269355,0.510368730645
0.029592,0.343061,0.019262406884,0.019262406884,7.286e-17,0.013621210355,0.001070728497,Smooth,0.490368796558,0.509631203442
0.029592,0.352857,0.017839662474,0.017839662474,-2.429e-17,0.012615048207,0.000918383092,Smooth,0.491080168763,0.508919831237
0.029592,0.362653,0.016464016187,0.016464016187,-6.592e-17,0.011642211997,0.000782195564,Smooth,0.491767991907,0.508232008093
0.029592,0.372449,0.015130714479,0.015130714479,-2.255e-17,0.010699337020,0.000660627354,Smooth,0.492434642761,0.507565357239
0.029592,0.382245,0.013835400556,0.013835400556,-1.752e-16,0.009783339656,0.000552351734,Smooth,0.493082299722,0.506917700278
0.029592,0.392041,0.012574061200,0.012574061200,5.378e-17,0.008891379674,0.000456224458,Smooth,0.493712969400,0.506287030600
0.029592,0.401837,0.011342980580,0.011342980580,-1.405e-16,0.008020827490,0.000371259469,Smooth,0.494328509710,0.505671490290
0.029592,0.411633,0.010138699846,0.010138699846,1.509e-16,0.007169235535,0.000296608743,Smooth,0.494930650077,0.505069349923
0.029592,0.421429,0.008957981567,0.008957981567,-7.980e-17,0.006334313050,0.000231545572,Smooth,0.495521009217,0.504478990783
0.029592,0.431224,0.007797778166,0.007797778166,6.852e-17,0.005513903729,0.000175450694,Smooth,0.496101110917,0.503898889083
0.029592,0.441020,0.006655203703,0.006655203703,-4.337e-18,0.004705965724,0.000127800824,Smooth,0.496672398148,0.503327601852
0.029592,0.450816,0.005527508410,0.005527508410,-9.888e-17,0.003908553607,0.000088159229,Smooth,0.497236245795,0.502763754205
0.029592,0.460612,0.004412055482,0.004412055482,-1.318e-16,0.003119801942,0.000056168042,Smooth,0.497793972259,0.502206027741
0.029592,0.470408,0.003306299720,0.003306299720,1.639e-16,0.002337910147,0.000031542097,Smooth,0.498346850140,0.501653149860
0.029592,0.480204,0.002207767614,0.002207767614,-4.250e-17,0.001561128402,0.000014064100,Smooth,0.498896116193,0.501103883807
0.029592,0.490000,0.001114038568,0.001114038568,4.033e-17,0.000787744348,0.000003581007,Smooth,0.499442980716,0.500557019284
0.039388,0.010000,0.617048401925,0.617048401925,1.110e-16,0.461600260456,1.282306115853,Borderline,0.191475799038,0.808524200962
0.039388,0.019796,0.463787264575,0.463787264575,1.665e-16,0.337717933678,0.671948211008,Borderline,0.268106367713,0.731893632287
0.039388,0.029592,0.369870369787,0.369870369787,5.551e-17,0.266301763766,0.414372737236,Borderline,0.315064815106,0.684935184894
0.039388,0.039388,0.306386865693,0.306386865693,0.000e0,0.219300980897,0.279847349970,Borderline,0.346806567153,0.653193432847
0.039388,0.049184,0.260580746376,0.260580746376,5.551e-17,0.185870769270,0.200549200936,Smooth,0.369709626812,0.630290373188
0.039388,0.058980,0.225950110460,0.225950110460,0.000e0,0.160813945615,0.149895712336,Smooth,0.387024944770,0.612975055230
0.039388,0.068776,0.198832751050,0.198832751050,8.327e-17,0.141303090092,0.115612307473,Smooth,0.400583624475,0.599416375525
0.039388,0.078571,0.177008446079,0.177008446079,1.665e-16,0.125660923055,0.091367359981,Smooth,0.411495776960,0.588504223040
0.039388,0.088367,0.159052812741,0.159052812741,1.110e-16,0.112826965324,0.073619057636,Smooth,0.420473593630,0.579526406370
0.039388,0.098163,0.144010025429,0.144010025429,8.327e-17,0.102096871721,0.060258675172,Smooth,0.427994987286,0.572005012714
0.039388,0.107959,0.131214768359,0.131214768359,-2.776e-17,0.092984056029,0.049966764333,Smooth,0.434392615820,0.565607384180
0.039388,0.117755,0.120189640346,0.120189640346,0.000e0,0.085141348241,0.041883505250,Smooth,0.439905179827,0.560094820173
0.039388,0.127551,0.110583168663,0.110583168663,-2.776e-17,0.078314278483,0.035429279716,Smooth,0.444708415669,0.555291584331
0.039388,0.137347,0.102130839677,0.102130839677,6.939e-17,0.072312001499,0.030201965592,Smooth,0.448934580161,0.551065419839
0.039388,0.147143,0.094629756247,0.094629756247,1.110e-16,0.066988536710,0.025915606336,Smooth,0.452685121877,0.547314878123
0.039388,0.156939,0.087921668796,0.087921668796,8.327e-17,0.062230285795,0.022362441128,Smooth,0.456039165602,0.543960834398
0.039388,0.166735,0.081881320525,0.081881320525,1.110e-16,0.057947503101,0.019388652428,Smooth,0.459059339738,0.540940660262
